"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","CPI","TOT","AGRWTH","Q","1959-Q4",1.346993,
"SWE","CPI","TOT","AGRWTH","Q","1960-Q1",4.030177,
"SWE","CPI","TOT","AGRWTH","Q","1960-Q2",4.573672,
"SWE","CPI","TOT","AGRWTH","Q","1960-Q3",4.236789,
"SWE","CPI","TOT","AGRWTH","Q","1960-Q4",3.731844,
"SWE","CPI","TOT","AGRWTH","Q","1961-Q1",1.704749,
"SWE","CPI","TOT","AGRWTH","Q","1961-Q2",2.231918,
"SWE","CPI","TOT","AGRWTH","Q","1961-Q3",2.244838,
"SWE","CPI","TOT","AGRWTH","Q","1961-Q4",2.447779,
"SWE","CPI","TOT","AGRWTH","Q","1962-Q1",3.90005,
"SWE","CPI","TOT","AGRWTH","Q","1962-Q2",4.860883,
"SWE","CPI","TOT","AGRWTH","Q","1962-Q3",5.462254,
"SWE","CPI","TOT","AGRWTH","Q","1962-Q4",4.833585,
"SWE","CPI","TOT","AGRWTH","Q","1963-Q1",3.399574,
"SWE","CPI","TOT","AGRWTH","Q","1963-Q2",2.696409,
"SWE","CPI","TOT","AGRWTH","Q","1963-Q3",2.291574,
"SWE","CPI","TOT","AGRWTH","Q","1963-Q4",3.110731,
"SWE","CPI","TOT","AGRWTH","Q","1964-Q1",3.124279,
"SWE","CPI","TOT","AGRWTH","Q","1964-Q2",2.760894,
"SWE","CPI","TOT","AGRWTH","Q","1964-Q3",3.694492,
"SWE","CPI","TOT","AGRWTH","Q","1964-Q4",3.960956,
"SWE","CPI","TOT","AGRWTH","Q","1965-Q1",3.807552,
"SWE","CPI","TOT","AGRWTH","Q","1965-Q2",4.273901,
"SWE","CPI","TOT","AGRWTH","Q","1965-Q3",6.120581,
"SWE","CPI","TOT","AGRWTH","Q","1965-Q4",5.809317,
"SWE","CPI","TOT","AGRWTH","Q","1966-Q1",7.504717,
"SWE","CPI","TOT","AGRWTH","Q","1966-Q2",7.672884,
"SWE","CPI","TOT","AGRWTH","Q","1966-Q3",5.10852,
"SWE","CPI","TOT","AGRWTH","Q","1966-Q4",5.421842,
"SWE","CPI","TOT","AGRWTH","Q","1967-Q1",4.618779,
"SWE","CPI","TOT","AGRWTH","Q","1967-Q2",4.330163,
"SWE","CPI","TOT","AGRWTH","Q","1967-Q3",4.614021,
