"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"SWE","QGDP","TOT","PC_CHGPP","Q","1960-Q2",1.355257579,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1960-Q3",1.626155234,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1960-Q4",1.871301104,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1961-Q1",1.936294986,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1961-Q2",0.363511886,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1961-Q3",1.386708171,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1961-Q4",0.503260333,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1962-Q1",0.277189801,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1962-Q2",1.761047311,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1962-Q3",2.447209631,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1962-Q4",0.824052305,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1963-Q1",-1.027403198,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1963-Q2",3.823815287,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1963-Q3",1.854547042,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1963-Q4",0.877163154,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1964-Q1",2.477562222,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1964-Q2",0.541844202,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1964-Q3",1.995749957,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1964-Q4",1.070150373,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1965-Q1",1.970918509,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1965-Q2",-0.73941296,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1965-Q3",-0.102962117,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1965-Q4",1.989428933,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1966-Q1",1.383376129,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1966-Q2",-0.65978203,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1966-Q3",-2.560285154,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1966-Q4",5.06697215,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1967-Q1",1.060737594,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1967-Q2",0.335866733,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1967-Q3",-1.597445134,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1967-Q4",2.331611251,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1968-Q1",-1.684102017,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1968-Q2",5.495456771,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1968-Q3",0.726611088,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1968-Q4",-0.542022594,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1969-Q1",-0.43319199,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1969-Q2",2.642603177,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1969-Q3",3.838758903,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1969-Q4",0.718573728,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1970-Q1",1.335154332,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1970-Q2",0.769958413,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1970-Q3",2.920683149,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1970-Q4",0.462520988,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1971-Q1",-1.089008897,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1971-Q2",-1.175994276,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1971-Q3",1.82754224,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1971-Q4",-0.980523847,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1972-Q1",0.473547083,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1972-Q2",0.189989184,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1972-Q3",2.848964976,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1972-Q4",1.704581047,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1973-Q1",0.664999096,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1973-Q2",0.036354188,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1973-Q3",0.781539966,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1973-Q4",1.365484011,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1974-Q1",-0.532074444,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1974-Q2",1.702633011,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1974-Q3",1.408670212,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1974-Q4",1.360991524,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1975-Q1",0.638731136,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1975-Q2",-1.154452753,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1975-Q3",0.911620997,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1975-Q4",1.276689307,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1976-Q1",-1.66619471,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1976-Q2",1.766900116,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1976-Q3",-0.541325725,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1976-Q4",-0.462996332,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1977-Q1",-2.032863483,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1977-Q2",1.010680614,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1977-Q3",0.143075842,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1977-Q4",-0.591868443,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1978-Q1",1.622628005,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1978-Q2",1.557888566,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1978-Q3",-2.062251777,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1978-Q4",1.628870517,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1979-Q1",2.064018273,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1979-Q2",1.605590277,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1979-Q3",0.275914039,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1979-Q4",0.106838671,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1980-Q1",3.127839726,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1980-Q2",-4.767321461,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1980-Q3",3.796627783,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1980-Q4",-1.956995266,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1981-Q1",0.614161716,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1981-Q2",-0.062042613,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1981-Q3",0.767286781,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1981-Q4",-1.122507363,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1982-Q1",0.284035978,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1982-Q2",2.112290025,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1982-Q3",-1.241488584,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1982-Q4",1.948384164,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1983-Q1",-1.131415266,"E"
"SWE","QGDP","TOT","PC_CHGPP","Q","1983-Q2",0.78839975,"E"
